scorer,Claire,Claire,Claire,Claire,Claire,Claire,Claire,Claire,Claire,Claire
bodyparts,A_head,A_head,B_rightoperculum,B_rightoperculum,C_tailbase,C_tailbase,D_tailtip,D_tailtip,E_leftoperculum,E_leftoperculum
coords,x,y,x,y,x,y,x,y,x,y
FinalStimTest/img000000.png,477.0,270.0,483.0,308.0,467.0,353.0,425.0,421.0,465.0,297.0
FinalStimTest/img089996.png,433.0,83.0,410.667,110.667,346.0,134.0,275.333,180.0,393.333,92.0
FinalStimTest/img092057.png,422.0,230.667,384.0,222.667,342.667,179.333,248.0,136.0,401.333,199.333
FinalStimTest/img092418.png,429.333,266.66700000000003,390.0,259.333,358.667,209.333,288.0,162.0,406.0,232.0
FinalStimTest/img094397.png,431.333,475.333,398.0,448.667,370.0,393.333,301.333,340.0,423.333,436.0
FinalStimTest/img095143.png,191.667,131.0,207.667,159.667,197.667,227.0,227.667,307.0,181.667,168.333
FinalStimTest/img095576.png,225.667,76.333,225.0,114.333,188.333,154.333,163.667,234.333,197.0,103.0
FinalStimTest/img095724.png,375.0,189.667,339.0,202.333,279.66700000000003,183.667,181.0,169.0,341.667,172.333
FinalStimTest/img096534.png,491.333,478.0,458.0,484.0,420.667,466.667,316.6670000000001,418.0,464.0,454.0
FinalStimTest/img096704.png,486.0,101.0,484.0,137.667,462.667,201.0,482.0,285.6670000000001,464.0,128.333
FinalStimTest/img096805.png,478.667,281.6670000000001,466.667,250.333,478.667,188.333,483.333,110.333,482.667,248.333
FinalStimTest/img097281.png,488.0,436.0,452.667,442.667,402.667,409.333,329.333,350.667,460.667,412.0
FinalStimTest/img097993.png,482.0,472.0,455.333,464.0,460.667,411.333,470.0,309.333,486.0,441.333
FinalStimTest/img098881.png,484.0,483.333,464.0,452.667,474.0,396.667,487.333,296.0,487.333,447.333
FinalStimTest/img100145.png,67.667,476.0,97.667,445.333,155.0,438.0,249.0,400.667,107.667,472.0
FinalStimTest/img100339.png,79.0,383.333,110.333,410.667,138.333,452.667,213.0,390.667,85.667,425.333
FinalStimTest/img102528.png,459.333,442.0,432.667,434.0,424.667,388.667,410.0,292.6670000000001,450.667,417.333
FinalStimTest/img102670.png,458.667,444.667,432.0,432.667,424.0,382.667,406.0,291.333,450.0,415.333
FinalStimTest/img106153.png,361.333,456.667,377.333,434.0,431.333,434.0,476.0,407.333,386.667,460.0
FinalStimTest/img107181.png,477.333,463.333,461.333,448.0,452.0,410.0,393.333,352.667,479.333,442.667
FinalStimTest/img107243.png,390.0,449.333,409.333,426.667,450.0,432.667,466.667,373.333,415.333,452.667
FinalStimTest/img109146.png,214.667,415.333,250.667,411.333,292.6670000000001,445.333,389.333,439.333,240.667,436.667
FinalStimTest/img109511.png,98.0,194.0,114.667,230.0,98.667,288.0,82.0,388.0,88.0,231.333
FinalStimTest/img110381.png,126.667,88.0,148.0,100.667,160.667,143.333,183.333,203.333,118.0,114.0
FinalStimTest/img110384.png,126.0,90.0,152.0,103.333,152.0,132.667,176.667,203.333,124.667,111.333
FinalStimTest/img111500.png,476.667,257.0,450.667,253.0,423.333,195.667,373.333,129.0,462.667,231.667
FinalStimTest/img111906.png,478.0,259.0,453.333,255.667,429.333,218.333,398.0,119.667,464.0,233.667
FinalStimTest/img112246.png,478.0,264.333,451.333,255.667,426.0,202.333,384.667,121.0,466.0,236.333
FinalStimTest/img114153.png,421.333,481.333,405.333,448.667,424.0,390.667,472.667,306.0,436.667,447.333
FinalStimTest/img114903.png,417.333,479.333,430.667,444.0,465.333,397.333,479.333,314.0,446.667,454.0
FinalStimTest/img116704.png,480.0,474.667,454.0,479.333,404.0,444.667,321.333,390.667,466.0,454.667
FinalStimTest/img117730.png,490.667,409.333,479.333,432.0,406.0,442.0,326.6670000000001,460.0,461.333,406.667
FinalStimTest/img119295.png,488.0,478.0,452.667,474.0,414.667,436.0,340.667,357.333,464.667,451.333
FinalStimTest/img122358.png,162.667,134.0,202.0,128.667,257.333,156.0,349.0,184.0,193.333,156.0
FinalStimTest/img122865.png,27.0,464.0,23.0,423.0,42.0,370.0,35.0,262.0,48.0,431.0
FinalStimTest/img124281.png,39.0,460.0,45.0,426.0,80.0,395.0,65.0,282.0,66.0,444.0
FinalStimTest/img124345.png,26.667,478.0,27.333,438.0,55.333,398.0,96.0,323.333,52.667,452.0
FinalStimTest/img126046.png,344.333,484.667,302.333,476.667,263.0,433.333,171.0,394.0,317.6670000000001,450.667
FinalStimTest/img128001.png,50.667,469.333,45.333,432.667,74.667,379.333,98.667,300.6670000000001,71.333,438.667
FinalStimTest/img128045.png,144.0,472.0,110.0,450.0,92.667,392.667,59.333,299.333,132.667,434.0
FinalStimTest/img128165.png,86.0,475.5,89.5,438.5,125.0,397.5,62.5,334.5,111.5,455.5
FinalStimTest/img128204.png,69.0,470.5,77.0,434.5,115.0,391.0,87.0,301.0,101.5,450.5
FinalStimTest/img128678.png,286.0,295.0,257.333,320.6670000000001,193.5,321.0,111.333,356.0,246.667,291.333
FinalStimTest/img130500.png,90.0,71.0,114.0,102.0,114.0,166.0,193.0,167.0,83.0,110.0
FinalStimTest/img130595.png,,,14.0,4.0,2.0,12.0,69.0,92.0,9.0,11.0
FinalStimTest/img133353.png,88.0,81.0,107.0,105.0,107.0,155.0,133.0,238.0,81.0,110.0
FinalStimTest/img133575.png,30.0,102.0,62.0,91.0,93.0,128.0,160.0,178.0,54.0,122.0
FinalStimTest/img134126.png,33.0,439.0,38.0,405.0,74.0,366.0,73.0,272.0,55.0,417.0
FinalStimTest/img135757.png,49.333,94.0,73.333,106.667,92.667,145.333,191.333,163.333,56.0,118.0
FinalStimTest/img137338.png,34.0,358.0,50.667,382.667,52.667,429.333,105.333,416.667,36.0,388.0
FinalStimTest/img138753.png,22.667,468.0,27.333,428.667,60.0,392.0,33.333,286.6670000000001,48.667,441.333
FinalStimTest/img139360.png,29.333,422.667,48.0,422.667,83.333,439.333,152.0,377.333,43.333,440.667
FinalStimTest/img142530.png,,,10.0,0.0,10.0,10.0,56.0,454.0,2.0,14.0
FinalStimTest/img143446.png,49.0,144.0,73.333,178.333,68.0,242.333,114.0,319.0,46.667,189.0
FinalStimTest/img144632.png,414.0,484.667,414.0,447.333,449.333,415.333,446.667,315.333,444.667,460.0
FinalStimTest/img144641.png,415.333,484.0,412.0,444.667,451.333,395.333,442.0,328.0,442.667,458.667
FinalStimTest/img145398.png,481.333,427.333,462.667,391.333,476.667,332.667,422.667,270.66700000000003,488.667,392.0
FinalStimTest/img148507.png,104.5,83.5,138.5,84.0,176.667,106.0,277.333,102.0,130.667,106.0
FinalStimTest/img148725.png,480.667,151.333,479.333,185.333,444.0,194.667,360.667,116.0,452.0,153.333
