Slice,Area,Count,Counter,Max,Mean,Min,Unnamed: 0,X,Y
1,0,100,0,12,12,12,2,483.0,308.0
2,0,100,0,49,49,49,7,410.667,110.667
3,0,100,0,75,75,75,12,384.0,222.667
4,0,100,0,92,92,92,17,390.0,259.33299999999997
5,0,100,0,70,70,70,22,398.0,448.667
6,0,100,0,92,92,92,27,207.667,159.667
7,0,100,0,108,108,108,32,225.0,114.333
8,0,100,0,117,117,117,37,339.0,202.333
9,0,100,0,93,93,93,42,458.0,484.0
10,0,100,0,84,84,84,47,484.0,137.667
11,0,100,0,116,116,116,52,466.667,250.333
12,0,100,0,140,140,140,57,452.667,442.667
13,0,100,0,105,105,105,62,455.333,464.0
14,0,100,0,31,31,31,67,464.0,452.667
15,0,100,0,97,97,97,72,97.667,445.333
16,0,100,0,81,81,81,77,110.333,410.667
17,0,100,0,123,123,123,82,432.667,434.0
18,0,100,0,103,103,103,87,432.0,432.667
19,0,100,0,85,85,85,92,377.333,434.0
20,0,100,0,127,127,127,97,461.333,448.0
21,0,385,0,119,119,119,102,409.333,426.667
22,0,385,0,118,118,118,107,250.667,411.333
23,0,385,0,92,92,92,112,114.667,230.0
24,0,385,0,20,20,20,117,148.0,100.667
25,0,385,0,87,87,87,122,152.0,103.333
26,0,385,0,99,99,99,127,450.667,253.0
27,0,385,0,108,108,108,132,453.333,255.667
28,0,385,0,109,109,109,137,451.333,255.667
29,0,385,0,98,98,98,142,405.333,448.667
30,0,385,0,48,48,48,147,430.667,444.0
31,0,385,0,134,134,134,152,454.0,479.333
32,0,385,0,139,139,139,157,479.333,432.0
33,0,385,0,125,125,125,162,452.667,474.0
34,0,385,0,95,95,95,167,202.0,128.667
35,0,385,0,96,96,96,172,23.0,423.0
36,0,385,0,65,65,65,177,45.0,426.0
37,0,385,0,95,95,95,182,27.333000000000002,438.0
38,0,385,0,111,111,111,187,302.33299999999997,476.667
39,0,385,0,61,61,61,192,45.333,432.667
40,0,385,0,103,103,103,197,110.0,450.0
41,0,385,0,89,89,89,202,89.5,438.5
42,0,385,0,74,74,74,207,77.0,434.5
43,0,385,0,145,145,145,212,257.33299999999997,320.66700000000003
44,0,385,0,120,120,120,217,114.0,102.0
45,0,385,0,166,166,166,222,14.0,4.0
46,0,385,0,106,106,106,227,107.0,105.0
47,0,385,0,119,119,119,232,62.0,91.0
48,0,385,0,89,89,89,237,38.0,405.0
49,0,385,0,61,61,61,242,73.333,106.667
50,0,385,0,47,47,47,247,50.667,382.667
51,0,385,0,75,75,75,252,27.333000000000002,428.667
52,0,385,0,53,53,53,257,48.0,422.667
53,0,385,0,161,161,161,262,10.0,0.0
54,0,385,0,107,107,107,267,73.333,178.333
55,0,385,0,45,45,45,272,414.0,447.333
56,0,385,0,116,116,116,277,412.0,444.667
57,0,385,0,136,136,136,282,462.667,391.333
58,0,385,0,46,46,46,287,138.5,84.0
59,0,385,0,74,74,74,292,479.333,185.333
60,0,385,0,80,80,80,297,196.0,114.667
61,0,385,0,126,126,126,302,12.0,3.0
62,0,385,0,69,69,69,307,120.667,73.333
63,0,385,0,76,76,76,312,478.0,277.33299999999997
64,0,385,0,87,87,87,317,374.667,124.667
65,0,385,0,26,26,26,322,162.0,164.0
66,0,385,0,60,60,60,327,81.0,323.0
67,0,385,0,104,104,104,332,468.667,419.333
68,0,385,0,72,72,72,337,466.667,416.0
69,0,385,0,146,146,146,342,468.667,424.0
70,0,385,0,132,132,132,347,474.0,435.333
71,0,385,0,16,16,16,352,226.667,94.0
72,0,385,0,87,87,87,357,124.0,197.333
73,0,385,0,59,59,59,362,145.0,128.0
74,0,385,0,108,108,108,367,113.0,235.0
75,0,385,0,125,125,125,372,3.0,3.0
76,0,385,0,155,155,155,377,362.0,360.0
77,0,385,0,81,81,81,382,279.66700000000003,80.667
78,0,645,0,97,97,97,387,120.0,98.0
79,0,645,0,55,55,55,392,53.333,99.333
80,0,645,0,75,75,75,397,32.0,428.0
81,0,645,0,108,108,108,402,100.0,454.0
82,0,645,0,119,119,119,407,328.667,463.333
83,0,645,0,124,124,124,412,337.333,452.0
84,0,645,0,110,110,110,417,340.0,450.667
85,0,645,0,104,104,104,422,344.0,168.0
86,0,645,0,48,48,48,427,57.0,231.0
87,0,645,0,130,130,130,432,150.0,455.333
88,0,645,0,87,87,87,437,342.0,377.333
89,0,645,0,58,58,58,442,184.0,432.0
90,0,645,0,117,117,117,447,315.33299999999997,470.0
91,0,645,0,67,67,67,452,419.333,178.667
92,0,645,0,68,68,68,457,417.0,137.0
93,0,645,0,104,104,104,462,370.0,261.0
94,0,645,0,96,96,96,467,411.0,147.0
95,0,645,0,76,76,76,472,408.667,146.0
96,0,645,0,82,82,82,477,401.333,248.0
97,0,645,0,85,85,85,482,390.0,442.0
98,0,645,0,45,45,45,487,391.333,457.333
99,0,645,0,120,120,120,492,205.667,156.667
100,0,645,0,118,118,118,497,166.333,132.0
101,0,645,0,103,103,103,502,125.333,104.0
102,0,645,0,106,106,106,507,126.0,100.0
103,0,645,0,82,82,82,512,103.333,78.667
104,0,645,0,69,69,69,517,152.667,102.0
105,0,645,0,62,62,62,522,461.333,157.333
106,0,645,0,28,28,28,527,462.667,188.0
107,0,645,0,23,23,23,532,412.0,98.0
108,0,645,0,124,124,124,537,456.667,116.0
109,0,645,0,109,109,109,542,462.0,454.667
110,0,645,0,108,108,108,547,456.667,440.0
111,0,645,0,14,14,14,552,209.333,444.0
112,0,645,0,81,81,81,557,456.0,205.667
113,0,645,0,95,95,95,562,176.0,416.667
114,0,645,0,64,64,64,567,68.0,240.0
115,0,645,0,77,77,77,572,71.0,240.0
116,0,645,0,101,101,101,577,176.0,298.0
117,0,645,0,67,67,67,582,183.333,294.66700000000003
118,0,645,0,99,99,99,587,56.5,354.5
119,0,645,0,86,86,86,592,67.0,89.0
120,0,645,0,67,67,67,597,63.0,89.0
121,0,645,0,92,92,92,602,28.0,425.5
122,0,645,0,73,73,73,607,96.5,152.0
123,0,645,0,91,91,91,612,99.333,156.667
124,0,645,0,118,118,118,617,64.667,346.0
125,0,645,0,131,131,131,622,64.0,359.333
126,0,645,0,116,116,116,627,59.5,379.5
127,0,645,0,73,73,73,632,41.0,222.0
128,0,645,0,127,127,127,637,48.5,404.5
129,0,645,0,130,130,130,642,55.5,442.0
130,0,1005,0,66,66,66,647,37.5,418.0
131,0,1005,0,69,69,69,652,340.667,208.667
132,0,1005,0,81,81,81,657,282.0,238.5
133,0,1005,0,54,54,54,662,69.0,140.0
134,0,1005,0,101,101,101,667,65.0,121.5
135,0,1005,0,102,102,102,672,106.0,436.5
136,0,1005,0,164,164,164,677,12.0,4.0
137,0,1005,0,93,93,93,682,256.0,316.0
138,0,1005,0,87,87,87,687,233.0,320.66700000000003
139,0,1005,0,120,120,120,692,115.667,300.66700000000003
140,0,1005,0,39,39,39,697,117.0,283.33299999999997
141,0,1005,0,60,60,60,702,90.667,440.0
142,0,1005,0,105,105,105,707,448.0,451.0
143,0,1005,0,58,58,58,712,75.333,251.0
144,0,1005,0,50,50,50,717,78.667,453.333
145,0,1005,0,43,43,43,722,80.0,454.0
146,0,1005,0,48,48,48,727,70.667,452.0
147,0,1005,0,49,49,49,732,79.333,367.333
148,0,1005,0,82,82,82,737,90.0,424.667
149,0,1005,0,106,106,106,742,84.667,462.0
150,0,1005,0,140,140,140,747,435.333,476.0
151,0,1005,0,37,37,37,752,96.0,451.333
152,0,1005,0,54,54,54,757,454.0,449.333
153,0,1005,0,54,54,54,762,219.333,462.667
154,0,1005,0,87,87,87,767,128.667,254.0
155,0,1005,0,154,154,154,772,414.0,461.0
156,0,1005,0,118,118,118,777,199.333,108.0
157,0,1005,0,94,94,94,782,64.0,116.0
158,0,1005,0,113,113,113,787,126.667,106.667
159,0,1005,0,80,80,80,792,236.0,226.667
160,0,1005,0,99,99,99,797,254.667,115.333
161,0,1005,0,63,63,63,802,47.0,437.5
162,0,1005,0,95,95,95,807,41.333,272.33299999999997
163,0,1005,0,74,74,74,812,40.667,401.0
164,0,1005,0,91,91,91,817,42.0,415.667
165,0,1005,0,40,40,40,822,58.667,249.0
166,0,1005,0,49,49,49,827,46.0,246.333
167,0,1005,0,99,99,99,832,57.333,100.667
168,0,1005,0,48,48,48,837,58.667,100.0
169,0,1005,0,166,166,166,842,2.0,2.0
170,0,1005,0,119,119,119,847,97.0,86.0
171,0,1005,0,111,111,111,852,100.0,94.667
172,0,1005,0,176,176,176,857,8.0,2.0
173,0,1005,0,114,114,114,862,58.0,425.333
