Slice,Area,Count,Counter,Max,Mean,Min,Unnamed: 0,X,Y
1,0,100,0,57,57,57,5,465.0,297.0
2,0,100,0,44,44,44,10,393.333,92.0
3,0,100,0,97,97,97,15,401.333,199.333
4,0,100,0,102,102,102,20,406.0,232.0
5,0,100,0,83,83,83,25,423.333,436.0
6,0,100,0,69,69,69,30,181.667,168.333
7,0,100,0,89,89,89,35,197.0,103.0
8,0,100,0,92,92,92,40,341.667,172.333
9,0,100,0,106,106,106,45,464.0,454.0
10,0,100,0,73,73,73,50,464.0,128.333
11,0,100,0,62,62,62,55,482.667,248.333
12,0,100,0,103,103,103,60,460.667,412.0
13,0,100,0,96,96,96,65,486.0,441.333
14,0,100,0,108,108,108,70,487.333,447.333
15,0,100,0,134,134,134,75,107.667,472.0
16,0,100,0,127,127,127,80,85.667,425.333
17,0,100,0,68,68,68,85,450.667,417.333
18,0,100,0,50,50,50,90,450.0,415.333
19,0,100,0,149,149,149,95,386.667,460.0
20,0,100,0,82,82,82,100,479.333,442.667
21,0,385,0,69,69,69,105,415.333,452.667
22,0,385,0,108,108,108,110,240.667,436.667
23,0,385,0,66,66,66,115,88.0,231.333
24,0,385,0,52,52,52,120,118.0,114.0
25,0,385,0,46,46,46,125,124.667,111.333
26,0,385,0,68,68,68,130,462.667,231.667
27,0,385,0,71,71,71,135,464.0,233.667
28,0,385,0,70,70,70,140,466.0,236.333
29,0,385,0,148,148,148,145,436.667,447.333
30,0,385,0,98,98,98,150,446.667,454.0
31,0,385,0,90,90,90,155,466.0,454.667
32,0,385,0,110,110,110,160,461.333,406.667
33,0,385,0,57,57,57,165,464.667,451.333
34,0,385,0,112,112,112,170,193.333,156.0
35,0,385,0,152,152,152,175,48.0,431.0
36,0,385,0,125,125,125,180,66.0,444.0
37,0,385,0,112,112,112,185,52.667,452.0
38,0,385,0,126,126,126,190,317.66700000000003,450.667
39,0,385,0,84,84,84,195,71.333,438.667
40,0,385,0,110,110,110,200,132.667,434.0
41,0,385,0,104,104,104,205,111.5,455.5
42,0,385,0,104,104,104,210,101.5,450.5
43,0,385,0,113,113,113,215,246.667,291.33299999999997
44,0,385,0,60,60,60,220,83.0,110.0
45,0,385,0,165,165,165,225,9.0,11.0
46,0,385,0,55,55,55,230,81.0,110.0
47,0,385,0,111,111,111,235,54.0,122.0
48,0,385,0,51,51,51,240,55.0,417.0
49,0,385,0,47,47,47,245,56.0,118.0
50,0,385,0,35,35,35,250,36.0,388.0
51,0,385,0,70,70,70,255,48.667,441.333
52,0,385,0,35,35,35,260,43.333,440.667
53,0,385,0,172,172,172,265,2.0,14.0
54,0,385,0,62,62,62,270,46.667,189.0
55,0,385,0,119,119,119,275,444.667,460.0
56,0,385,0,101,101,101,280,442.667,458.667
57,0,385,0,81,81,81,285,488.667,392.0
58,0,385,0,75,75,75,290,130.667,106.0
59,0,385,0,101,101,101,295,452.0,153.333
60,0,385,0,82,82,82,300,168.667,109.333
61,0,385,0,122,122,122,305,1.0,14.0
62,0,385,0,58,58,58,310,69.333,102.0
63,0,385,0,76,76,76,315,470.667,239.333
64,0,385,0,68,68,68,320,354.667,137.333
65,0,385,0,44,44,44,325,175.333,183.333
66,0,385,0,100,100,100,330,104.0,334.0
67,0,385,0,41,41,41,335,457.333,394.667
68,0,385,0,90,90,90,340,458.0,391.333
69,0,385,0,119,119,119,345,458.0,387.333
70,0,385,0,82,82,82,350,464.0,393.333
71,0,385,0,76,76,76,355,210.0,73.333
72,0,385,0,67,67,67,360,96.0,203.0
73,0,385,0,26,26,26,365,118.0,118.0
74,0,385,0,51,51,51,370,85.0,237.0
75,0,385,0,126,126,126,375,15.0,4.0
76,0,385,0,111,111,111,380,380.0,319.33299999999997
77,0,385,0,118,118,118,385,272.0,104.0
78,0,645,0,81,81,81,390,91.333,86.667
79,0,645,0,88,88,88,395,41.333,119.333
80,0,645,0,65,65,65,400,54.667,444.0
81,0,645,0,122,122,122,405,129.333,444.0
82,0,645,0,67,67,67,410,325.33299999999997,432.0
83,0,645,0,62,62,62,415,330.0,422.0
84,0,645,0,91,91,91,420,332.0,421.333
85,0,645,0,89,89,89,425,350.0,136.0
86,0,645,0,105,105,105,430,60.0,260.0
87,0,645,0,101,101,101,435,165.333,432.667
88,0,645,0,67,67,67,440,320.66700000000003,357.333
89,0,645,0,88,88,88,445,191.333,452.0
90,0,645,0,109,109,109,450,332.0,448.0
91,0,645,0,75,75,75,455,392.667,174.0
92,0,645,0,29,29,29,460,400.0,121.0
93,0,645,0,46,46,46,465,397.0,251.0
94,0,645,0,73,73,73,470,409.0,120.0
95,0,645,0,53,53,53,475,408.0,120.0
96,0,645,0,72,72,72,480,402.0,222.0
97,0,645,0,66,66,66,485,414.0,432.0
98,0,645,0,86,86,86,490,416.0,442.667
99,0,645,0,92,92,92,495,195.667,126.667
100,0,645,0,68,68,68,500,151.333,106.667
101,0,645,0,75,75,75,505,96.0,91.333
102,0,645,0,95,95,95,510,96.667,89.333
103,0,645,0,74,74,74,515,80.0,96.0
104,0,645,0,33,33,33,520,132.667,82.0
105,0,645,0,72,72,72,525,472.0,138.0
106,0,645,0,95,95,95,530,460.667,162.667
107,0,645,0,48,48,48,535,404.667,75.333
108,0,645,0,74,74,74,540,448.0,70.0
109,0,645,0,90,90,90,545,487.333,450.667
110,0,645,0,92,92,92,550,474.0,423.333
111,0,645,0,80,80,80,555,206.667,470.667
112,0,645,0,82,82,82,560,462.0,169.667
113,0,645,0,88,88,88,565,199.333,432.667
114,0,645,0,99,99,99,570,97.0,244.0
115,0,645,0,53,53,53,575,98.0,234.0
116,0,645,0,89,89,89,580,205.333,268.66700000000003
117,0,645,0,133,133,133,585,213.333,260.0
118,0,645,0,101,101,101,590,55.0,384.0
119,0,645,0,91,91,91,595,40.0,105.5
120,0,645,0,54,54,54,600,40.0,106.5
121,0,645,0,115,115,115,605,50.0,444.0
122,0,645,0,72,72,72,610,70.667,138.667
123,0,645,0,81,81,81,615,78.667,132.667
124,0,645,0,133,133,133,620,74.667,377.333
125,0,645,0,87,87,87,625,69.5,389.5
126,0,645,0,89,89,89,630,79.0,402.0
127,0,645,0,98,98,98,635,60.0,228.5
128,0,645,0,120,120,120,640,76.0,420.0
129,0,645,0,107,107,107,645,85.0,442.0
130,0,1005,0,76,76,76,650,52.5,428.5
131,0,1005,0,84,84,84,655,365.333,215.333
132,0,1005,0,80,80,80,660,273.5,263.0
133,0,1005,0,82,82,82,665,52.0,159.0
134,0,1005,0,65,65,65,670,49.0,145.5
135,0,1005,0,129,129,129,675,109.333,462.0
136,0,1005,0,155,155,155,680,1.0,13.0
137,0,1005,0,93,93,93,685,282.33299999999997,307.33299999999997
138,0,1005,0,124,124,124,690,259.0,334.667
139,0,1005,0,75,75,75,695,111.0,328.667
140,0,1005,0,77,77,77,700,145.667,282.66700000000003
141,0,1005,0,94,94,94,705,115.333,452.0
142,0,1005,0,54,54,54,710,460.0,420.0
143,0,1005,0,72,72,72,715,96.667,265.66700000000003
144,0,1005,0,44,44,44,720,97.333,472.667
145,0,1005,0,69,69,69,725,93.333,478.667
146,0,1005,0,65,65,65,730,92.0,467.333
147,0,1005,0,86,86,86,735,106.0,364.0
148,0,1005,0,95,95,95,740,110.667,404.0
149,0,1005,0,80,80,80,745,110.667,448.667
150,0,1005,0,46,46,46,750,448.0,452.667
151,0,1005,0,86,86,86,755,107.333,472.0
152,0,1005,0,91,91,91,760,478.0,452.0
153,0,1005,0,113,113,113,765,239.0,441.0
154,0,1005,0,0,0,0,770,156.0,256.0
155,0,1005,0,80,80,80,775,418.0,435.0
156,0,1005,0,78,78,78,780,174.0,124.0
157,0,1005,0,55,55,55,785,52.667,142.0
158,0,1005,0,74,74,74,790,98.0,98.0
159,0,1005,0,61,61,61,795,224.667,204.0
160,0,1005,0,90,90,90,800,220.0,121.333
161,0,1005,0,86,86,86,805,67.0,457.5
162,0,1005,0,102,102,102,810,58.0,293.0
163,0,1005,0,58,58,58,815,49.333,421.0
164,0,1005,0,89,89,89,820,58.667,435.0
165,0,1005,0,50,50,50,825,48.0,261.66700000000003
166,0,1005,0,38,38,38,830,58.667,263.66700000000003
167,0,1005,0,85,85,85,835,40.667,118.0
168,0,1005,0,37,37,37,840,42.0,112.0
169,0,1005,0,158,158,158,845,1.0,10.0
170,0,1005,0,59,59,59,850,72.0,107.0
