,Area,Mean,Min,Max,X,Y,Slice,Counter,Count
1,0,67,67,67,477,270,1,0,100
2,0,12,12,12,483,308,1,0,100
3,0,4,4,4,467,353,1,0,100
4,0,75,75,75,425,421,1,0,100
5,0,57,57,57,465,297,1,0,100
6,0,102,102,102,433,83,2,0,100
7,0,49,49,49,410.667,110.667,2,0,100
8,0,20,20,20,346,134,2,0,100
9,0,105,105,105,275.333,180,2,0,100
10,0,44,44,44,393.333,92,2,0,100
11,0,121,121,121,422,230.667,3,0,100
12,0,75,75,75,384,222.667,3,0,100
13,0,19,19,19,342.667,179.333,3,0,100
14,0,109,109,109,248,136,3,0,100
15,0,97,97,97,401.333,199.333,3,0,100
16,0,107,107,107,429.333,266.667,4,0,100
17,0,92,92,92,390,259.333,4,0,100
18,0,17,17,17,358.667,209.333,4,0,100
19,0,92,92,92,288,162,4,0,100
20,0,102,102,102,406,232,4,0,100
21,0,128,128,128,431.333,475.333,5,0,100
22,0,70,70,70,398,448.667,5,0,100
23,0,14,14,14,370,393.333,5,0,100
24,0,124,124,124,301.333,340,5,0,100
25,0,83,83,83,423.333,436,5,0,100
26,0,105,105,105,191.667,131,6,0,100
27,0,92,92,92,207.667,159.667,6,0,100
28,0,12,12,12,197.667,227,6,0,100
29,0,146,146,146,227.667,307,6,0,100
30,0,69,69,69,181.667,168.333,6,0,100
31,0,103,103,103,225.667,76.333,7,0,100
32,0,108,108,108,225,114.333,7,0,100
33,0,16,16,16,188.333,154.333,7,0,100
34,0,126,126,126,163.667,234.333,7,0,100
35,0,89,89,89,197,103,7,0,100
36,0,91,91,91,375,189.667,8,0,100
37,0,117,117,117,339,202.333,8,0,100
38,0,32,32,32,279.667,183.667,8,0,100
39,0,92,92,92,181,169,8,0,100
40,0,92,92,92,341.667,172.333,8,0,100
41,0,106,106,106,491.333,478,9,0,100
42,0,93,93,93,458,484,9,0,100
43,0,7,7,7,420.667,466.667,9,0,100
44,0,140,140,140,316.667,418,9,0,100
45,0,106,106,106,464,454,9,0,100
46,0,96,96,96,486,101,10,0,100
47,0,84,84,84,484,137.667,10,0,100
48,0,10,10,10,462.667,201,10,0,100
49,0,126,126,126,482,285.667,10,0,100
50,0,73,73,73,464,128.333,10,0,100
51,0,104,104,104,478.667,281.667,11,0,100
52,0,116,116,116,466.667,250.333,11,0,100
53,0,18,18,18,478.667,188.333,11,0,100
54,0,42,42,42,483.333,110.333,11,0,100
55,0,62,62,62,482.667,248.333,11,0,100
56,0,120,120,120,488,436,12,0,100
57,0,140,140,140,452.667,442.667,12,0,100
58,0,26,26,26,402.667,409.333,12,0,100
59,0,141,141,141,329.333,350.667,12,0,100
60,0,103,103,103,460.667,412,12,0,100
61,0,125,125,125,482,472,13,0,100
62,0,105,105,105,455.333,464,13,0,100
63,0,34,34,34,460.667,411.333,13,0,100
64,0,104,104,104,470,309.333,13,0,100
65,0,96,96,96,486,441.333,13,0,100
66,0,111,111,111,484,483.333,14,0,100
67,0,31,31,31,464,452.667,14,0,100
68,0,11,11,11,474,396.667,14,0,100
69,0,109,109,109,487.333,296,14,0,100
70,0,108,108,108,487.333,447.333,14,0,100
71,0,115,115,115,67.667,476,15,0,100
72,0,97,97,97,97.667,445.333,15,0,100
73,0,10,10,10,155,438,15,0,100
74,0,130,130,130,249,400.667,15,0,100
75,0,134,134,134,107.667,472,15,0,100
76,0,112,112,112,79,383.333,16,0,100
77,0,81,81,81,110.333,410.667,16,0,100
78,0,26,26,26,138.333,452.667,16,0,100
79,0,133,133,133,213,390.667,16,0,100
80,0,127,127,127,85.667,425.333,16,0,100
81,0,98,98,98,459.333,442,17,0,100
82,0,123,123,123,432.667,434,17,0,100
83,0,8,8,8,424.667,388.667,17,0,100
84,0,128,128,128,410,292.667,17,0,100
85,0,68,68,68,450.667,417.333,17,0,100
86,0,112,112,112,458.667,444.667,18,0,100
87,0,103,103,103,432,432.667,18,0,100
88,0,8,8,8,424,382.667,18,0,100
89,0,126,126,126,406,291.333,18,0,100
90,0,50,50,50,450,415.333,18,0,100
91,0,94,94,94,361.333,456.667,19,0,100
92,0,85,85,85,377.333,434,19,0,100
93,0,6,6,6,431.333,434,19,0,100
94,0,75,75,75,476,407.333,19,0,100
95,0,149,149,149,386.667,460,19,0,100
96,0,104,104,104,477.333,463.333,20,0,100
97,0,127,127,127,461.333,448,20,0,100
98,0,4,4,4,452,410,20,0,100
99,0,131,131,131,393.333,352.667,20,0,100
100,0,82,82,82,479.333,442.667,20,0,100
101,0,83,83,83,390,449.333,21,0,385
102,0,119,119,119,409.333,426.667,21,0,385
103,0,76,76,76,450,432.667,21,0,385
104,0,135,135,135,466.667,373.333,21,0,385
105,0,69,69,69,415.333,452.667,21,0,385
106,0,123,123,123,214.667,415.333,22,0,385
107,0,118,118,118,250.667,411.333,22,0,385
108,0,15,15,15,292.667,445.333,22,0,385
109,0,132,132,132,389.333,439.333,22,0,385
110,0,108,108,108,240.667,436.667,22,0,385
111,0,77,77,77,98,194,23,0,385
112,0,92,92,92,114.667,230,23,0,385
113,0,12,12,12,98.667,288,23,0,385
114,0,117,117,117,82,388,23,0,385
115,0,66,66,66,88,231.333,23,0,385
116,0,54,54,54,126.667,88,24,0,385
117,0,20,20,20,148,100.667,24,0,385
118,0,42,42,42,160.667,143.333,24,0,385
119,0,116,116,116,183.333,203.333,24,0,385
120,0,52,52,52,118,114,24,0,385
121,0,24,24,24,126,90,25,0,385
122,0,87,87,87,152,103.333,25,0,385
123,0,33,33,33,152,132.667,25,0,385
124,0,89,89,89,176.667,203.333,25,0,385
125,0,46,46,46,124.667,111.333,25,0,385
126,0,115,115,115,476.667,257,26,0,385
127,0,99,99,99,450.667,253,26,0,385
128,0,19,19,19,423.333,195.667,26,0,385
129,0,100,100,100,373.333,129,26,0,385
130,0,68,68,68,462.667,231.667,26,0,385
131,0,124,124,124,478,259,27,0,385
132,0,108,108,108,453.333,255.667,27,0,385
133,0,7,7,7,429.333,218.333,27,0,385
134,0,114,114,114,398,119.667,27,0,385
135,0,71,71,71,464,233.667,27,0,385
136,0,126,126,126,478,264.333,28,0,385
137,0,109,109,109,451.333,255.667,28,0,385
138,0,7,7,7,426,202.333,28,0,385
139,0,119,119,119,384.667,121,28,0,385
140,0,70,70,70,466,236.333,28,0,385
141,0,124,124,124,421.333,481.333,29,0,385
142,0,98,98,98,405.333,448.667,29,0,385
143,0,11,11,11,424,390.667,29,0,385
144,0,94,94,94,472.667,306,29,0,385
145,0,148,148,148,436.667,447.333,29,0,385
146,0,111,111,111,417.333,479.333,30,0,385
147,0,48,48,48,430.667,444,30,0,385
148,0,31,31,31,465.333,397.333,30,0,385
149,0,125,125,125,479.333,314,30,0,385
150,0,98,98,98,446.667,454,30,0,385
151,0,93,93,93,480,474.667,31,0,385
152,0,134,134,134,454,479.333,31,0,385
153,0,8,8,8,404,444.667,31,0,385
154,0,152,152,152,321.333,390.667,31,0,385
155,0,90,90,90,466,454.667,31,0,385
156,0,61,61,61,490.667,409.333,32,0,385
157,0,139,139,139,479.333,432,32,0,385
158,0,50,50,50,406,442,32,0,385
159,0,152,152,152,326.667,460,32,0,385
160,0,110,110,110,461.333,406.667,32,0,385
161,0,138,138,138,488,478,33,0,385
162,0,125,125,125,452.667,474,33,0,385
163,0,8,8,8,414.667,436,33,0,385
164,0,159,159,159,340.667,357.333,33,0,385
165,0,57,57,57,464.667,451.333,33,0,385
166,0,113,113,113,162.667,134,34,0,385
167,0,95,95,95,202,128.667,34,0,385
168,0,25,25,25,257.333,156,34,0,385
169,0,118,118,118,349,184,34,0,385
170,0,112,112,112,193.333,156,34,0,385
171,0,137,137,137,27,464,35,0,385
172,0,96,96,96,23,423,35,0,385
173,0,11,11,11,42,370,35,0,385
174,0,112,112,112,35,262,35,0,385
175,0,152,152,152,48,431,35,0,385
176,0,111,111,111,39,460,36,0,385
177,0,65,65,65,45,426,36,0,385
178,0,21,21,21,80,395,36,0,385
179,0,133,133,133,65,282,36,0,385
180,0,125,125,125,66,444,36,0,385
181,0,129,129,129,26.667,478,37,0,385
182,0,95,95,95,27.333,438,37,0,385
183,0,14,14,14,55.333,398,37,0,385
184,0,143,143,143,96,323.333,37,0,385
185,0,112,112,112,52.667,452,37,0,385
186,0,131,131,131,344.333,484.667,38,0,385
187,0,111,111,111,302.333,476.667,38,0,385
188,0,24,24,24,263,433.333,38,0,385
189,0,125,125,125,171,394,38,0,385
190,0,126,126,126,317.667,450.667,38,0,385
191,0,130,130,130,50.667,469.333,39,0,385
192,0,61,61,61,45.333,432.667,39,0,385
193,0,17,17,17,74.667,379.333,39,0,385
194,0,118,118,118,98.667,300.667,39,0,385
195,0,84,84,84,71.333,438.667,39,0,385
196,0,144,144,144,144,472,40,0,385
197,0,103,103,103,110,450,40,0,385
198,0,12,12,12,92.667,392.667,40,0,385
199,0,136,136,136,59.333,299.333,40,0,385
200,0,110,110,110,132.667,434,40,0,385
201,0,120,120,120,86,475.5,41,0,385
202,0,89,89,89,89.5,438.5,41,0,385
203,0,22,22,22,125,397.5,41,0,385
204,0,116,116,116,62.5,334.5,41,0,385
205,0,104,104,104,111.5,455.5,41,0,385
206,0,113,113,113,69,470.5,42,0,385
207,0,74,74,74,77,434.5,42,0,385
208,0,20,20,20,115,391,42,0,385
209,0,117,117,117,87,301,42,0,385
210,0,104,104,104,101.5,450.5,42,0,385
211,0,129,129,129,286,295,43,0,385
212,0,145,145,145,257.333,320.667,43,0,385
213,0,24,24,24,193.5,321,43,0,385
214,0,109,109,109,111.333,356,43,0,385
215,0,113,113,113,246.667,291.333,43,0,385
216,0,95,95,95,90,71,44,0,385
217,0,120,120,120,114,102,44,0,385
218,0,11,11,11,114,166,44,0,385
219,0,117,117,117,193,167,44,0,385
220,0,60,60,60,83,110,44,0,385
221,0,162,162,162,6,5,45,0,385
222,0,166,166,166,14,4,45,0,385
223,0,172,172,172,2,12,45,0,385
224,0,100,100,100,69,92,45,0,385
225,0,165,165,165,9,11,45,0,385
226,0,47,47,47,88,81,46,0,385
227,0,106,106,106,107,105,46,0,385
228,0,14,14,14,107,155,46,0,385
