Slice,Area,Count,Counter,Max,Mean,Min,Unnamed: 0,X,Y
1,0,230,0,108,108,108,1,454.0,44.667
2,0,230,0,118,118,118,6,434.667,358.0
3,0,230,0,97,97,97,11,457.333,396.667
4,0,230,0,106,106,106,16,458.0,397.333
5,0,230,0,93,93,93,21,457.333,398.0
6,0,230,0,73,73,73,26,453.5,383.0
7,0,230,0,85,85,85,31,451.0,370.0
8,0,230,0,113,113,113,36,465.0,293.0
9,0,230,0,118,118,118,41,465.0,291.0
10,0,230,0,113,113,113,46,462.0,347.5
11,0,230,0,99,99,99,51,456.667,403.333
12,0,230,0,99,99,99,56,458.0,394.667
13,0,230,0,106,106,106,61,458.0,388.667
14,0,230,0,99,99,99,66,464.667,320.0
15,0,230,0,78,78,78,71,461.333,282.66700000000003
16,0,230,0,111,111,111,76,463.333,279.33299999999997
17,0,230,0,111,111,111,81,470.0,278.66700000000003
18,0,230,0,114,114,114,86,471.333,284.66700000000003
19,0,230,0,113,113,113,91,471.333,287.33299999999997
20,0,230,0,110,110,110,96,470.5,291.5
21,0,230,0,99,99,99,101,469.5,296.0
22,0,230,0,90,90,90,106,469.5,297.5
23,0,230,0,141,141,141,111,404.667,400.0
24,0,230,0,111,111,111,116,429.333,422.667
25,0,230,0,105,105,105,121,471.0,189.5
26,0,230,0,92,92,92,126,478.5,134.0
27,0,230,0,97,97,97,131,467.5,191.0
28,0,230,0,85,85,85,136,466.667,260.0
29,0,230,0,109,109,109,141,473.333,135.0
30,0,230,0,94,94,94,146,294.0,387.333
31,0,230,0,91,91,91,151,347.333,278.66700000000003
32,0,230,0,125,125,125,156,385.333,216.667
33,0,230,0,128,128,128,161,378.667,116.667
34,0,230,0,121,121,121,166,421.333,308.0
35,0,230,0,110,110,110,171,436.667,363.333
36,0,230,0,109,109,109,176,444.0,367.333
37,0,230,0,130,130,130,181,431.333,208.667
38,0,230,0,110,110,110,186,469.333,199.333
39,0,230,0,142,142,142,191,474.0,205.0
40,0,230,0,123,123,123,196,426.0,361.5
41,0,230,0,86,86,86,201,443.0,429.5
42,0,230,0,115,115,115,206,329.0,402.0
43,0,230,0,123,123,123,211,320.0,195.0
44,0,230,0,58,58,58,216,484.5,69.0
45,0,230,0,97,97,97,221,475.0,120.0
46,0,230,0,74,74,74,226,474.5,112.5
47,0,625,0,69,69,69,231,471.5,150.0
48,0,625,0,105,105,105,236,468.0,228.5
49,0,625,0,84,84,84,241,452.667,381.333
50,0,625,0,96,96,96,246,147.333,330.667
51,0,625,0,111,111,111,251,280.33299999999997,118.667
52,0,625,0,125,125,125,256,380.333,204.0
53,0,625,0,89,89,89,261,420.0,359.333
54,0,625,0,118,118,118,266,444.0,392.667
55,0,625,0,100,100,100,271,474.667,206.0
56,0,625,0,103,103,103,276,466.0,254.667
57,0,625,0,106,106,106,281,467.333,253.333
58,0,625,0,103,103,103,286,470.0,294.66700000000003
59,0,625,0,75,75,75,291,457.333,378.0
60,0,625,0,73,73,73,296,462.0,276.66700000000003
61,0,625,0,103,103,103,301,450.667,257.33299999999997
62,0,625,0,72,72,72,306,458.667,289.33299999999997
63,0,625,0,140,140,140,311,452.0,156.0
64,0,625,0,131,131,131,316,460.667,228.667
65,0,625,0,84,84,84,321,461.333,251.333
66,0,625,0,108,108,108,326,462.667,256.0
67,0,625,0,122,122,122,331,397.333,375.333
68,0,625,0,108,108,108,336,396.667,377.333
69,0,625,0,103,103,103,341,430.0,431.333
70,0,625,0,64,64,64,346,458.667,284.0
71,0,625,0,105,105,105,351,466.0,277.33299999999997
72,0,625,0,74,74,74,356,465.333,276.0
73,0,625,0,86,86,86,361,464.667,266.66700000000003
74,0,625,0,93,93,93,366,465.333,267.33299999999997
75,0,625,0,93,93,93,371,467.333,282.66700000000003
76,0,625,0,102,102,102,376,467.333,282.66700000000003
77,0,625,0,92,92,92,381,458.667,376.667
78,0,625,0,113,113,113,386,438.667,416.0
79,0,625,0,96,96,96,391,440.667,416.0
80,0,625,0,104,104,104,396,408.667,426.0
81,0,625,0,64,64,64,401,448.667,426.667
82,0,625,0,77,77,77,406,453.333,370.667
83,0,625,0,100,100,100,411,473.333,166.667
84,0,625,0,77,77,77,416,474.0,145.0
85,0,625,0,65,65,65,421,475.5,142.0
86,0,625,0,102,102,102,426,399.0,46.5
87,0,625,0,125,125,125,431,296.0,151.0
88,0,625,0,104,104,104,436,456.0,165.0
89,0,625,0,81,81,81,441,473.0,175.5
90,0,625,0,128,128,128,446,295.0,101.5
91,0,625,0,89,89,89,451,476.0,149.0
92,0,625,0,84,84,84,456,464.0,241.0
93,0,625,0,122,122,122,461,460.5,256.0
94,0,625,0,115,115,115,466,460.5,257.0
95,0,625,0,100,100,100,471,436.5,357.5
96,0,625,0,94,94,94,476,435.0,366.0
97,0,625,0,89,89,89,481,443.0,373.0
98,0,625,0,106,106,106,486,445.5,387.5
99,0,625,0,95,95,95,491,444.5,390.0
100,0,625,0,84,84,84,496,445.5,397.0
101,0,625,0,109,109,109,501,440.5,404.5
102,0,625,0,86,86,86,506,419.0,417.5
103,0,625,0,58,58,58,511,457.0,316.0
104,0,625,0,70,70,70,516,456.0,313.0
105,0,625,0,112,112,112,521,150.0,382.0
106,0,625,0,97,97,97,526,236.667,358.667
107,0,625,0,96,96,96,531,236.333,359.333
108,0,625,0,64,64,64,536,237.0,360.0
109,0,625,0,61,61,61,541,237.0,253.333
110,0,625,0,80,80,80,546,218.333,206.667
111,0,625,0,120,120,120,551,217.0,203.333
112,0,625,0,96,96,96,556,125.667,150.667
113,0,625,0,80,80,80,561,76.333,119.333
114,0,625,0,105,105,105,566,2.0,6.0
115,0,625,0,122,122,122,571,337.0,401.0
