Slice,Area,Count,Counter,Max,Mean,Min,Unnamed: 0,X,Y
1,0,230,0,87,87,87,4,467.333,206.0
2,0,230,0,143,143,143,9,362.667,184.667
3,0,230,0,105,105,105,14,423.333,225.333
4,0,230,0,105,105,105,19,422.0,227.333
5,0,230,0,102,102,102,24,415.333,229.333
6,0,230,0,95,95,95,29,366.0,252.0
7,0,230,0,121,121,121,34,337.5,249.5
8,0,230,0,125,125,125,39,295.0,248.0
9,0,230,0,113,113,113,44,276.0,274.5
10,0,230,0,136,136,136,49,310.0,232.0
11,0,230,0,84,84,84,54,410.0,282.66700000000003
12,0,230,0,106,106,106,59,400.667,274.0
13,0,230,0,130,130,130,64,340.0,254.667
14,0,230,0,123,123,123,69,328.0,236.667
15,0,230,0,115,115,115,74,272.0,266.66700000000003
16,0,230,0,77,77,77,79,276.0,268.0
17,0,230,0,113,113,113,84,286.0,248.0
18,0,230,0,126,126,126,89,294.0,236.0
19,0,230,0,132,132,132,94,298.66700000000003,229.333
20,0,230,0,123,123,123,99,302.5,229.5
21,0,230,0,118,118,118,104,307.0,238.0
22,0,230,0,117,117,117,109,307.0,228.0
23,0,230,0,106,106,106,114,364.0,244.0
24,0,230,0,118,118,118,119,379.5,264.0
25,0,230,0,111,111,111,124,337.5,321.5
26,0,230,0,126,126,126,129,447.5,239.5
27,0,230,0,137,137,137,134,378.667,105.333
28,0,230,0,125,125,125,139,430.0,107.0
29,0,230,0,91,91,91,144,446.667,245.667
30,0,230,0,73,73,73,149,446.0,390.667
31,0,230,0,104,104,104,154,214.667,337.333
32,0,230,0,127,127,127,159,230.0,310.0
33,0,230,0,108,108,108,164,356.0,293.33299999999997
34,0,230,0,102,102,102,169,392.0,126.0
35,0,230,0,136,136,136,174,380.0,197.333
36,0,230,0,123,123,123,179,376.667,225.333
37,0,230,0,102,102,102,184,338.0,328.0
38,0,230,0,133,133,133,189,384.667,212.0
39,0,230,0,140,140,140,194,330.5,187.5
40,0,230,0,132,132,132,199,404.5,173.0
41,0,230,0,119,119,119,204,394.0,254.0
42,0,230,0,109,109,109,209,413.5,235.0
43,0,230,0,123,123,123,214,224.5,356.5
44,0,230,0,151,151,151,219,336.0,150.5
45,0,230,0,97,97,97,224,334.0,95.5
46,0,230,0,90,90,90,229,455.333,263.0
47,0,625,0,96,96,96,234,436.0,312.33299999999997
48,0,625,0,114,114,114,239,410.0,184.5
49,0,625,0,99,99,99,244,444.0,217.333
50,0,625,0,86,86,86,249,289.33299999999997,378.667
51,0,625,0,107,107,107,254,198.333,86.0
52,0,625,0,140,140,140,259,224.333,103.333
53,0,625,0,132,132,132,264,329.333,206.0
54,0,625,0,109,109,109,269,280.0,304.66700000000003
55,0,625,0,101,101,101,274,327.33299999999997,280.66700000000003
56,0,625,0,116,116,116,279,287.33299999999997,213.333
57,0,625,0,118,118,118,284,286.66700000000003,208.667
58,0,625,0,101,101,101,289,316.66700000000003,206.0
59,0,625,0,65,65,65,294,368.667,295.33299999999997
60,0,625,0,82,82,82,299,339.333,375.333
61,0,625,0,76,76,76,304,340.0,374.0
62,0,625,0,135,135,135,309,378.0,141.0
63,0,625,0,149,149,149,314,395.333,148.0
64,0,625,0,129,129,129,319,374.0,59.333
65,0,625,0,77,77,77,324,382.0,85.333
66,0,625,0,116,116,116,329,380.0,88.667
67,0,625,0,106,106,106,334,454.667,190.0
68,0,625,0,97,97,97,339,471.333,204.0
69,0,625,0,137,137,137,344,422.667,254.667
70,0,625,0,73,73,73,349,326.66700000000003,314.66700000000003
71,0,625,0,96,96,96,354,336.0,383.333
72,0,625,0,104,104,104,359,324.66700000000003,369.333
