,Area,Mean,Min,Max,X,Y,Slice,Counter,Count
1,0,108,108,108,454,44.667,1,0,230
2,0,52,52,52,456.667,80.667,1,0,230
3,0,16,16,16,448.667,130,1,0,230
4,0,87,87,87,467.333,206,1,0,230
5,0,107,107,107,432,71.333,1,0,230
6,0,118,118,118,434.667,358,2,0,230
7,0,91,91,91,422,322.667,2,0,230
8,0,45,45,45,420.667,256,2,0,230
9,0,143,143,143,362.667,184.667,2,0,230
10,0,95,95,95,450,325.333,2,0,230
11,0,97,97,97,457.333,396.667,3,0,230
12,0,104,104,104,424,388.667,3,0,230
13,0,8,8,8,416.667,319.333,3,0,230
14,0,105,105,105,423.333,225.333,3,0,230
15,0,67,67,67,450.667,362,3,0,230
16,0,106,106,106,458,397.333,4,0,230
17,0,100,100,100,426,388.667,4,0,230
18,0,29,29,29,412,312.667,4,0,230
19,0,105,105,105,422,227.333,4,0,230
20,0,68,68,68,450,363.333,4,0,230
21,0,93,93,93,457.333,398,5,0,230
22,0,123,123,123,426.667,390,5,0,230
23,0,12,12,12,414,319.333,5,0,230
24,0,102,102,102,415.333,229.333,5,0,230
25,0,92,92,92,448,364,5,0,230
26,0,73,73,73,453.5,383,6,0,230
27,0,113,113,113,424,397.5,6,0,230
28,0,18,18,18,383,346,6,0,230
29,0,95,95,95,366,252,6,0,230
30,0,90,90,90,433,360,6,0,230
31,0,85,85,85,451,370,7,0,230
32,0,111,111,111,420.5,386.5,7,0,230
33,0,36,36,36,373.5,332.5,7,0,230
34,0,121,121,121,337.5,249.5,7,0,230
35,0,80,80,80,426.5,348.5,7,0,230
36,0,113,113,113,465,293,8,0,230
37,0,108,108,108,438.5,312.5,8,0,230
38,0,34,34,34,366.5,291,8,0,230
39,0,125,125,125,295,248,8,0,230
40,0,86,86,86,438.5,273.5,8,0,230
41,0,118,118,118,465,291,9,0,230
42,0,114,114,114,433.5,306,9,0,230
43,0,22,22,22,362,279,9,0,230
44,0,113,113,113,276,274.5,9,0,230
45,0,99,99,99,438,270,9,0,230
46,0,113,113,113,462,347.5,10,0,230
47,0,96,96,96,431,349,10,0,230
48,0,24,24,24,387,285,10,0,230
49,0,136,136,136,310,232,10,0,230
50,0,65,65,65,458.667,314,10,0,230
51,0,99,99,99,456.667,403.333,11,0,230
52,0,124,124,124,430,416,11,0,230
53,0,16,16,16,386.667,352.667,11,0,230
54,0,84,84,84,410,282.667,11,0,230
